Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
1	gsp002	99.2966931064166	99.312907781743	99.3995444646122	99.2769363544625	99.202442209594	99.1431423619587	98.5232197092036	99.2840097497012	99.2818033146254	99.2989237142022	99.3740661028655	99.4111385612466	99.3936153682292	99.3798647561867	99.2883502504097
5	gsp002	99.2900979920741	99.3125253862334	99.4240652987175	99.2944630068917	99.194432526753	99.151860493887	98.477314381126	99.2834069787586	99.2798013541038	99.2983139101291	99.3826371283991	99.4105463152367	99.3901279118198	99.3753898787632	99.28932226013
10	gsp002	99.2886243106318	99.3084206142545	99.4112311808498	99.269400062794	99.2052674734629	99.1437975231332	98.4954723215418	99.2866753697304	99.2792936032829	99.2958297156457	99.3843256870142	99.4114614639987	99.3866377251533	99.37596339168	99.2873532724867
20	gsp002	99.2915189317382	99.3112734472549	99.4187493054428	99.2887534012455	99.2002218103238	99.1515436094928	98.5045211529907	99.2848038248114	99.2805220495368	99.2957262363683	99.3856710857533	99.4102034598225	99.386927161335	99.3776342755237	99.287905231442
30	gsp002	99.2901768765735	99.3091574419908	99.4128468045351	99.278230419619	99.2016841396665	99.1500424376285	98.5093358158228	99.285562843012	99.2801019586121	99.2961003959307	99.3845647486535	99.4107391378434	99.3873479237589	99.3772557579424	99.2860338620515
40	gsp002	99.2911826099234	99.3091608148625	99.4101236792036	99.2814281029199	99.1997804032124	99.1504687928441	98.5015215542919	99.285746513841	99.2804533668087	99.2955925726349	99.3854603033165	99.4111396312716	99.3878478783448	99.3776611379675	99.2874087343402
50	gsp002	99.2902603237459	99.3098165934396	99.4156644979188	99.2850095106246	99.1994900060824	99.1516788129026	98.4987817693754	99.2854458200742	99.2805767069182	99.2958931195088	99.3847500419489	99.4110753741106	99.3868960618253	99.3777721681793	99.2868068208716
60	gsp002	99.2903575563717	99.3100625078303	99.4171985271307	99.2785168284386	99.1983402374884	99.1498918924141	98.5008137257231	99.2855865853531	99.2807576588137	99.2958453758172	99.3844216555976	99.4112098610173	99.3870884330742	99.3778293337341	99.2871962577439
70	gsp002	99.2902007901184	99.3093607332088	99.4133018125894	99.2825037849741	99.1984807994118	99.1504406456477	98.5002162253353	99.2851745600514	99.2806840316774	99.2963028388884	99.3850245972067	99.4104074494149	99.3870904502565	99.3779345151417	99.2876991883234
80	gsp002	99.2906167315375	99.3096891681452	99.413790159628	99.2794864310288	99.1982658419542	99.1503902298986	98.4986433654751	99.285837993731	99.2799801142272	99.2960567060154	99.3846391690287	99.411422018783	99.3870764978245	99.3776769326766	99.2869039123502
90	gsp002	99.2903071598372	99.3099349701466	99.4144685125968	99.2813116871912	99.1987667735902	99.1500660231838	98.5023314845717	99.286007888356	99.2804557210238	99.2961510757404	99.3845807995229	99.4111078312935	99.3874578547289	99.3775455053267	99.2870042062568
100	gsp002	99.2902867060732	99.3099075967125	99.4139781696335	99.2793628465594	99.1990586772119	99.1511388722864	98.5010539204332	99.2858123335021	99.280518292971	99.2960470045538	99.3848229066998	99.4110830996284	99.3873710896365	99.3776313351327	99.2870791341636
