Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
1	gsp001	0.263227485667853	0.18921118300112	0.154546379740587	0.103236332573119	0.492081859516914	0.463892365857997	0.63731174282431	0.408824788002827	0.455281057525719	0.461039559449761	0.110680073788318	0.432463815035572	0.368795747074671	0.398410041237477	0.405528434306119
5	gsp001	1.32576845469247	0.968642368662723	0.794014555723483	0.50917065071232	2.36968885177747	2.35168892550169	3.28216138550229	2.11196744274754	2.2545905341319	2.28394438950744	0.544771430906792	2.10177346793878	1.81426908054691	2.02061032427434	2.01119205637658
10	gsp001	2.62021533880282	1.92513947498746	1.592599611826	1.02364263310826	4.77355528594576	4.6494954699678	6.5073648082289	4.23643754998421	4.4958686394838	4.6206184179105	1.11872602961469	4.19657278582957	3.61289700888056	4.01124254143381	4.04927702192654
20	gsp001	5.22087292670692	3.80478910869032	3.10779601472561	2.05185336254522	9.57810078420122	9.31071188738787	13.0520881581288	8.49872945939319	8.94595574624127	9.27530944134678	2.22468655190265	8.46508237077829	7.26799551885016	7.98300897351858	8.07898787877816
30	gsp001	7.86356052677551	5.74724495830575	4.70817032536417	3.08740365768246	14.3963064971865	14.0159100051767	19.6173501114678	12.7375093557626	13.4661573819571	13.8967596606763	3.30198398261391	12.6404646548505	10.9178896605	12.0164108489984	12.1087916922431
40	gsp001	10.4902107069992	7.5968672018617	6.28560919437068	4.11319871719874	19.1643701307964	18.6204966126931	26.1900077250151	16.9756177207359	17.973857555209	18.5429094939153	4.48475391339328	16.753025898033	14.5406260467636	16.0393250548524	16.1328890915414
50	gsp001	13.0740271208933	9.51945958550967	7.83328031066741	5.16006247325494	23.9073987854738	23.3674975598889	32.6852028297275	21.2161577826322	22.4612054389235	23.1443475968311	5.57516864413163	21.0138689664347	18.1277235887022	19.9928904217826	20.1645063603159
60	gsp001	15.6427965836842	11.4253642536946	9.44948409079617	6.18493718216451	28.6757737436032	28.0468088635734	39.198832993828	25.4746641140994	26.9066723615948	27.7324023514818	6.6730391363369	25.2330598592509	21.8131552038875	23.9940643997006	24.2116798381914
70	gsp001	18.2652244501536	13.3513375334764	11.0266472953632	7.20842154862512	33.5308724138428	32.7134516232949	45.7718920837828	29.6835412302648	31.4104555354862	32.3363442728309	7.79755492053011	29.3816253624106	25.4572920456385	28.045198951193	28.1174811322116
80	gsp001	20.8865865209705	15.2639647277734	12.5698436726196	8.24460491035296	38.2970248274292	37.3558006529401	52.237225677822	33.9590141470349	35.9062432386084	36.9732617513988	8.91855357907002	33.5858638634371	29.0508264323733	32.0071492450481	32.1960823595594
90	gsp001	23.5076633111466	17.1482477678393	14.1281951832447	9.29495453940799	43.0775883208029	42.0419102103223	58.8159551211882	38.2072764193113	40.3533829796441	41.6216128934028	10.0078608439499	37.8231500431928	32.7189993701388	36.0152573055083	36.260559390461
100	gsp001	26.109482856717	19.048008484695	15.6939848256342	10.3185382732828	47.8663211779206	46.702054821964	65.3307007646483	42.4182783153056	44.8322409595687	46.2486893918875	11.1448119792226	42.0012981871858	36.3473428031548	40.0154336025335	40.2750141438295
1	gsp002	2.47543403623954	0.683697099057057	0.170565573190607	0.0647583080044325	0.489207655038791	0.394354276854041	0.271184910049936	3.07752583450075	3.41947952491317	3.50519950197453	1.75970336251957	3.25008533527553	3.75943993977791	4.85989822362439	3.33172812816951
5	gsp002	12.3024588622028	3.44406390870446	0.851169085124342	0.309153320838141	2.45327033791465	2.01403410737672	1.38175399771722	15.4058728274552	17.2109765126676	17.4776653051058	8.73279349058932	16.0490077145697	18.7845172631551	24.2843055143052	16.4470036152163
10	gsp002	24.6176611255519	6.88629363876461	1.71237366385498	0.62628561219543	4.87157098085523	4.0390348164664	2.72895951603244	30.6451760873442	34.421600925631	35.044619508997	17.4179765808054	32.1963888263115	37.4993676876145	48.4222249245512	32.9482970926019
20	gsp002	49.1639382743137	13.8139446479704	3.46237341934129	1.23870273428242	9.80780148618677	8.02772817772428	5.52514171198049	61.3948345017284	68.8897614948328	70.1960628080669	34.8213152684451	64.2876739348087	75.0686728090677	96.7665168178142	66.0035904389281
30	gsp002	73.7704045853814	20.63311765053	5.14202821818315	1.87107641117812	14.7462244642135	12.0620451841726	8.24581906052627	92.1663462450686	103.147218754656	105.196722342976	52.2911871074129	96.5946491277545	112.775035348528	145.427088464725	99.0144400000913
40	gsp002	98.2886585099075	27.5227210265141	6.84036810067965	2.51241624183773	19.5834839809305	16.11425896216	10.9830245560202	123.072567097	137.640882753081	140.328440560191	69.6649944104172	128.780170135881	150.313093577343	193.68707497409	131.975892254882
50	gsp002	122.931668206016	34.4156139265866	8.53260166145418	3.13046663317373	24.5710268238031	20.0842594153254	13.7109101679548	153.776227271231	172.205594277467	175.270742503292	87.0564546233136	161.00583735667	187.742457323397	242.440061382715	164.911596240749
60	gsp002	147.559438831316	41.3027438021487	10.2796203061116	3.75604804596075	29.4781699813485	24.1259917067479	16.4397731825868	184.405677868545	206.495281700955	210.355332175099	104.529814205463	193.168320937576	225.193957056225	290.587314695305	197.883100942095
70	gsp002	172.034130524012	48.2317011664607	11.9386674917102	4.37175175797188	34.3888318538082	28.1891404626786	19.2070020242473	215.288423450753	241.141854450459	245.550978983886	121.973572635072	225.341231233982	262.893425287866	339.017243104959	230.933059325866
80	gsp002	196.658411450022	55.1592546962113	13.6952022829102	4.99205395732356	39.2145076162752	32.1905945040496	21.9357297413078	246.009680785756	275.333038395495	280.402454852178	139.422066153666	257.495612609473	300.403215452743	387.614207940305	263.891628927338
90	gsp002	221.265004582186	62.0321101889504	15.3950128337082	5.6074567544949	44.1561901247118	36.2208385645677	24.7008864110053	276.771679642736	309.807333323987	315.566223270987	156.78792806603	289.739410030864	337.928562556218	436.105169247482	296.748122216415
100	gsp002	245.854538483683	68.8986226707219	17.0964573879483	6.24354149706926	49.071331813871	40.2465392348287	27.4341461076845	307.484703712989	344.262779833685	350.637172665457	174.226976184041	321.922227369688	375.529513942659	484.521529755848	329.746429529689
1	gsp003	0.21528519908916	0.0501493145810738	0.034902931790121	0.0649745771556319	0.219730763808318	0.214316012272297	0.12917465930459	0.359990649910558	0.401995865698049	0.411870829612929	0.266358536869685	1.76859505141023	1.72932040351861	2.44237702221623	0.435122768749462
5	gsp003	0.99985169244553	0.252891234413212	0.188552609816251	0.321978752348966	1.12775871886686	1.09019845747937	0.626609793059084	1.7599346226122	2.02612654235279	2.03658497137908	1.34815717182987	8.73502932888695	8.60641677352338	12.1157903602531	2.1062339829367
10	gsp003	2.04374096346202	0.506060164041582	0.387588671744115	0.627331800618497	2.27644284025445	2.14530295327336	1.29811466310078	3.56435174645878	4.06518513726383	4.04551882315819	2.62154170280265	17.5928225246828	17.043871571761	24.2187695111405	4.23019224443038
20	gsp003	4.06442345895939	1.0130858529851	0.763993244987601	1.28240260679517	4.54024719146383	4.36767945061511	2.57418154675624	7.07818310429073	8.11856853304298	8.12174341328311	5.20816643647463	34.8935438608912	34.243454479651	48.6782885674406	8.3605936452349
30	gsp003	6.0624020819207	1.50901044683296	1.14533530018853	1.95944795411865	6.79803379581284	6.48832001718659	3.87518851232875	10.5998985649566	12.2672850013458	12.166271688454	7.86220519296156	52.2968232277705	51.3990278836512	72.8463222472928	12.6136453935857
40	gsp003	8.078528544932	2.01782253994081	1.50718681320023	2.59202239627168	9.00632290643746	8.62158808705836	5.20533211432254	14.0075234042138	16.2865088340646	16.3287563465563	10.5776774548715	69.9845528222073	68.6326263192811	97.3901562844258	16.7750876265726
50	gsp003	10.1224953264811	2.5158454110408	1.87618028095432	3.1891049486508	11.3966281087369	10.8231856584764	6.49531366437451	17.6195020161893	20.3667169773089	20.3789776787976	13.2358682125644	87.4564699018057	85.8145490321254	121.689515388282	21.0780146562042
60	gsp003	12.1290953178145	3.02347653658528	2.27310988735339	3.83436121250886	13.6248606183632	12.9197521860106	7.77194143133269	21.2116556310792	24.4985709377005	24.3504245074877	15.8439249136551	104.87829015427	102.926556634261	145.84133838108	25.1414109480271
