Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
1	gsp001	0	0.992741252638096	0.990556933408268	0.98982573041125	0.0105602986082654	0.0069173965516746	0.0117506381677883	0.0030601093026458	0.009150000065565	0.0114285715988704	0.986435011932546	0.0097882353558261	0.0231446545079072	0.0099929676780218	0.0114648525812186
5	gsp001	0.0095538550960009	0.0062963594054993	0.0067085891542471	0.0080943310260773	0.0092971560713897	0.0094226051884513	0.0096387045113645	0.0102478763322967	0.0103275878112376	0.0103348846538347	0.0106177499834096	0.0104516188470499	0.0103818042332011	0.0107607561734152	0.010653284154139
10	gsp001	0.0091862496490369	0.0070295623777593	0.0074392049533464	0.010195350230132	0.0095701510449038	0.0096991311735187	0.0100550479636277	0.0105774733978593	0.0108277351071054	0.0107479068527092	0.0100312722343958	0.0109385295782722	0.0110784436391998	0.0113690034843695	0.0111412902629739
20	gsp001	0.0097478237949799	0.0070521652686486	0.0078510454650256	0.0096859591884339	0.0102498905646087	0.0104377658407709	0.0109296163982146	0.0115648334581293	0.0117200592095014	0.0117162107520624	0.0105533055927467	0.0120920720906415	0.0121571533083243	0.012392835226797	0.012026450902078
30	gsp001	0.0102219355127938	0.0073751543702909	0.0080154698094037	0.0099671985482832	0.0107652334828539	0.0109375855040851	0.0113710283744761	0.0120956017528045	0.0123457573868503	0.0122804352992764	0.0109932706358783	0.0126333946515738	0.0127624507899059	0.0129738618635303	0.0126263786850789
40	gsp001	0.0105472877439658	0.0075745980022018	0.0083204883185871	0.0101566916296759	0.0110545851010258	0.0112765879579337	0.0115358998347093	0.0124214397358938	0.012608523462135	0.0126030112420376	0.0112079965056994	0.0130109259920607	0.0130969462662635	0.0133354912859931	0.0130090266106642
50	gsp001	0.0108506005453051	0.0077853605699086	0.0084794516795823	0.0103562132103752	0.0112314942138035	0.011433564629494	0.0116489094873123	0.0126382441107827	0.0128221678747262	0.0127628325768141	0.0115246876048514	0.0132073883808783	0.0133993779741445	0.0135562652376734	0.0131994932715526
60	gsp001	0.0110214384389576	0.0079286364076627	0.0087324956892032	0.0105596052719617	0.0112982820983768	0.0115007912667704	0.0117289633034186	0.012751771320784	0.012921484558851	0.0129191770309964	0.0117625924641597	0.0133330842335504	0.0135361604777701	0.0136915786360687	0.01330685094307
70	gsp001	0.0111416686711486	0.0080443760569914	0.0089078692907404	0.0107578305766761	0.0113992762997326	0.0115758336015616	0.0118124116567157	0.0128537771948869	0.0130249366943714	0.0129864220972297	0.0119675334301035	0.013438755184884	0.0136717669760761	0.0137896577810801	0.0134334857772024
80	gsp001	0.0112572411636316	0.0081469605328705	0.0090482821093301	0.01094564063963	0.0114595103817748	0.0116545363433565	0.0118265081748751	0.0129330447147189	0.0131219015765277	0.0130539745190496	0.0122185543651605	0.0135161016858079	0.0137401042533409	0.0138881954307532	0.0134975204578734
90	gsp001	0.0113438208155541	0.0082429054448293	0.0091868470320345	0.0111437639892897	0.011496630240952	0.0117009935913728	0.0118558737683355	0.0129771705427935	0.0131622353836524	0.0131041938573031	0.0124106187517046	0.0135803663055843	0.013820560645243	0.0139390188898025	0.0135464021295483
100	gsp001	0.0113969502858655	0.0083002365128236	0.0092828492019964	0.011273996953392	0.0115304570716786	0.0117327199277554	0.0118882589920941	0.0130165688156331	0.0131975793924808	0.0131406405112904	0.012549210337832	0.0136191242576784	0.0138691407705154	0.0139885633170388	0.0136103624031582
